*, CJ1
1, 0.846
2, 1.000
3, 1.000
4, 1.000
5, 1.000
6, 0.271
7, 1.000
8, 0.750
9, 0.000
10, 0.200
11, 0.625
12, 0.750
13, 0.250
14, 0.875
15, 1.000
16, 0.349
17, 0.667
18, 0.701
19, 0.250
20, 1.000
21, 0.250
22, 0.750
23, 0.000
24, 1.000
25, 0.873
26, 0.000
27, 0.379
28, 0.833
29, 1.000
30, 0.600
31, 0.143
32, 0.778
33, 0.238
34, 0.850
35, 1.000
36, 0.333
37, 0.000
38, 1.000
39, 0.571
40, 0.929
41, 0.583
42, 1.000
43, 0.700
44, 0.563
45, 0.050
46, 1.000
47, 0.375
48, 0.333
49, 0.625
50, 0.500
51, 0.222
52, 1.000
53, 0.367
54, 1.000
55, 0.538
56, 1.000
57, 0.850
58, 1.000
59, 0.020
60, 0.112
61, 0.955
62, 1.000
63, 0.100
64, 0.286
65, 1.000
66, 1.000
67, 0.000
68, 0.472
69, 0.641
70, 0.500
71, 0.000
72, 0.667
73, 0.810
74, 1.000
75, 0.833
76, 0.875
77, 0.000
78, 0.000
79, 0.375
80, 0.667
81, 0.167
82, 1.000
83, 1.000
84, 1.000
85, 0.390
86, 1.000
87, 0.308
88, 1.000
89, 0.733
90, 0.000
91, 1.000
92, 0.125
93, 0.583
94, 0.167
95, 0.891
96, 1.000
97, 1.000
98, 0.500
99, 0.797
100, 0.625
101, 0.052
102, 0.875
103, 1.000
104, 0.905
105, 0.907
106, 0.466
107, 0.423
108, 0.438
109, 0.819
110, 1.000
111, 1.000
112, 0.463
113, 0.583
114, 0.507
115, 0.250
116, 0.500
117, 0.375
118, 0.000
119, 0.333
120, 0.667
121, 0.333
122, 0.000
123, 0.333
124, 0.333
125, 0.117
126, 0.000
127, 1.000
128, 0.667
129, 0.500
130, 0.167
131, 0.500
132, 0.500
133, 0.100
134, 1.000
135, 0.333
136, 0.333
