*, CJ1
1, 0.500
2, NaN
3, 0.500
4, 0.417
5, 1.000
6, 0.500
7, 1.000
8, 1.000
9, 1.000
10, 0.333
11, 1.000
12, 0.125
13, 0.750
14, 0.000
15, NaN
16, 1.000
17, 1.000
18, 0.333
19, 0.838
20, 0.333
21, 0.583
22, 1.000
23, 0.708
24, 0.333
25, 0.000
26, 0.000
27, 0.270
28, NaN
29, 1.000
30, 1.000
31, NaN
32, 1.000
33, 0.250
34, 0.215
35, NaN
36, 0.000
37, 0.000
38, 0.034
39, 0.500
40, 0.000
41, 0.333
42, 0.500
43, 0.479
44, 0.000
45, 0.042
46, 0.139
47, 0.333
48, 1.000
49, 0.204
50, 1.000
51, 0.000
52, 0.667
53, 0.685
54, 0.083
55, 0.000
56, 0.250
57, 0.425
58, NaN
59, 1.000
60, 0.317
61, 0.271
62, 0.000
63, 0.667
64, NaN
65, 0.417
66, NaN
67, 0.000
68, NaN
69, 0.044
70, 0.000
71, NaN
72, 1.000
73, 0.500
74, NaN
75, 1.000
76, 0.050
77, NaN
78, 0.667
79, 0.028
80, 0.000
81, 0.000
82, 0.000
83, 1.000
84, 0.563
85, 0.000
86, 1.000
87, 1.000
88, 0.400
89, 0.207
90, 0.167
91, 0.750
92, 1.000
93, 0.100
94, 0.000
95, 0.750
96, 1.000
97, 0.000
98, 0.667
99, 0.646
100, 0.625
101, 0.900
102, 1.000
103, NaN
104, 1.000
105, 0.708
106, 0.000
107, NaN
108, 1.000
109, 0.250
110, 0.000
111, 0.200
112, 0.167
113, 1.000
114, 0.250
115, NaN
116, 0.000
117, 1.000
118, 0.833
119, 0.000
120, 0.167
121, 0.194
122, 0.383
123, 0.333
124, 0.900
125, 0.000
126, 1.000
127, 0.500
128, 0.426
129, 1.000
130, 0.000
131, 0.000
132, 1.000
133, 0.000
134, 0.000
135, 0.714
136, 0.250
137, 1.000
138, 0.100
139, 0.225
140, 0.000
141, 0.208
142, 0.444
143, 1.000
