*, CJ1
1, 0.000
2, 1.000
3, 0.000
4, 0.500
5, 0.500
6, 1.000
7, 0.500
8, 0.333
9, 1.000
10, 0.500
11, 1.000
12, 1.000
13, 1.000
14, 1.000
15, 1.000
16, 1.000
17, 1.000
18, 1.000
19, 1.000
20, 1.000
21, 1.000
22, 1.000
23, 0.000
24, 0.000
25, 1.000
26, 1.000
27, 1.000
28, 1.000
29, 1.000
30, 0.000
31, 0.250
32, 0.250
33, 0.000
34, 0.500
35, 1.000
36, 0.000
37, 0.000
38, 1.000
39, 1.000
40, 1.000
41, 1.000
42, 1.000
43, 1.000
44, 1.000
45, 1.000
46, 1.000
47, 0.333
48, 0.200
49, 1.000
50, 1.000
51, 0.500
52, 1.000
53, 1.000
54, 1.000
55, 1.000
56, 0.000
57, 0.000
58, 1.000
59, 0.500
60, 1.000
61, 1.000
62, 1.000
63, 0.000
64, 0.000
65, 1.000
66, 1.000
67, 1.000
68, 1.000
69, 1.000
70, 0.000
71, 1.000
72, 1.000
73, 0.250
74, 1.000
75, 0.000
76, 1.000
77, 0.000
78, 0.000
79, 0.000
80, 0.000
81, 0.000
82, 0.000
83, 0.000
84, 0.143
85, 0.167
86, 0.500
87, 1.000
88, 1.000
89, 1.000
90, 1.000
91, 1.000
92, 1.000
93, 1.000
94, 1.000
95, 0.000
96, 0.500
97, 0.333
98, 0.111
99, 0.200
100, 0.000
101, 0.000
102, 0.000
103, 0.000
104, 0.000
105, 0.000
106, 0.111
107, 0.000
108, 0.000
109, 0.125
110, 0.500
111, 0.500
112, 0.000
113, 0.000
114, 0.333
115, 1.000
116, 0.500
117, 0.000
118, 0.250
119, 1.000
120, 0.333
121, 0.333
122, 0.000
123, 0.000
124, 0.000
125, 0.167
126, 0.000
127, 0.000
128, 0.000
129, 0.167
130, 0.250
131, 0.333
132, 0.333
133, 1.000
134, 1.000
135, 1.000
136, 1.000
137, 1.000
138, 1.000
139, 0.111
140, 0.000
141, 0.500
142, 1.000
143, 1.000
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 0.000
150, 0.500
151, 1.000
152, 0.500
153, 0.500
154, 0.167
155, 1.000
156, 0.500
157, 1.000
158, 1.000
159, 1.000
160, 1.000
161, 0.000
162, 0.000
163, 0.250
164, 0.000
165, 0.000
166, 0.000
167, 0.500
168, 0.000
169, 0.500
170, 0.125
171, 0.500
172, 0.500
173, 0.500
174, 1.000
175, 1.000
176, 1.000
177, 1.000
178, 1.000
179, 0.143
180, 0.125
181, 0.500
182, 0.500
183, 0.250
184, 0.333
185, 0.000
186, 0.500
187, 0.000
188, 0.000
189, 1.000
190, 0.500
191, 0.500
192, 0.000
193, 1.000
194, 0.333
195, 0.333
196, 0.000
197, 0.000
198, 0.111
199, 0.000
200, 0.000
201, 0.000
202, 0.111
203, 0.000
204, 0.000
205, 0.000
206, 0.000
207, 0.000
208, 1.000
209, 1.000
210, 1.000
211, 0.000
212, 1.000
213, 1.000
214, 1.000
215, 0.000
216, 0.000
217, 0.250
218, 0.000
219, 0.000
220, 0.500
221, 1.000
222, 0.500
223, 0.000
224, 0.000
225, 0.111
226, 0.000
227, 0.000
228, 0.000
229, 0.000
230, 0.000
231, 1.000
232, 1.000
233, 1.000
234, 1.000
235, 1.000
236, 0.125
237, 0.000
238, 1.000
239, 1.000
240, 1.000
241, 1.000
242, 1.000
243, 0.000
244, 1.000
245, 0.000
246, 1.000
247, 0.000
248, 0.250
249, 0.333
250, 0.000
251, 0.200
252, 0.250
253, 0.000
254, 0.000
255, 0.500
256, 0.500
257, 1.000
258, 0.500
259, 1.000
260, 1.000
261, 1.000
262, 1.000
263, 1.000
264, 1.000
265, 0.000
266, 0.200
267, 0.000
268, 0.000
269, 0.000
270, 0.000
271, 1.000
272, 1.000
273, 0.250
274, 1.000
275, 1.000
276, 1.000
277, 1.000
278, 1.000
279, 1.000
280, 0.000
281, 0.000
282, 1.000
283, 0.333
284, 0.250
285, 0.333
286, 1.000
287, 1.000
288, 0.250
289, 1.000
290, 1.000
291, 0.500
292, 1.000
293, 1.000
294, 1.000
295, 1.000
296, 1.000
297, 1.000
298, 1.000
299, 1.000
300, 0.500
301, 1.000
302, 0.333
303, 1.000
304, 0.000
305, 0.000
306, 0.000
307, 1.000
308, 1.000
309, 1.000
310, 0.250
311, 0.250
312, 0.000
313, 0.200
314, 0.500
315, 0.000
316, 0.000
317, 1.000
318, 1.000
319, 1.000
320, 0.000
321, 0.500
322, 0.000
323, 0.000
324, 0.000
325, 0.000
326, 0.000
327, 1.000
328, 1.000
329, 1.000
330, 0.500
331, 1.000
332, 0.000
333, 0.500
334, 0.000
335, 0.000
336, 0.250
337, 0.000
338, 0.333
339, 0.200
340, 0.000
341, 0.333
342, 1.000
343, 1.000
344, 0.333
345, 0.000
346, 0.000
347, 1.000
348, 0.500
349, 1.000
350, 1.000
351, 1.000
352, 0.000
353, 0.000
354, 1.000
355, 1.000
356, 0.500
357, 0.500
358, 0.500
359, 0.500
360, 0.111
361, 0.167
362, 1.000
363, 1.000
364, 1.000
365, 0.000
366, 0.000
367, 0.000
368, 0.000
369, 0.000
370, 0.000
371, 0.000
372, 0.000
373, 0.000
374, 1.000
375, 1.000
376, 1.000
377, 1.000
378, 0.000
379, 0.000
380, 0.000
381, 0.000
382, 0.000
383, 0.143
384, 1.000
385, 1.000
386, 0.500
387, 0.000
388, 1.000
389, 1.000
390, 0.000
391, 0.200
392, 1.000
393, 0.125
394, 0.000
395, 0.000
396, 0.000
397, 0.000
398, 0.000
399, 0.333
400, 0.000
401, 0.500
402, 0.500
403, 0.333
404, 0.500
405, 1.000
406, 1.000
407, 1.000
408, 1.000
409, 1.000
410, 1.000
