*, CJ1
1, 0.000
2, 1.000
3, 0.000
4, 1.000
5, 1.000
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 1.000
15, 1.000
16, 1.000
17, 1.000
18, 1.000
19, 1.000
20, 1.000
21, 1.000
22, 1.000
23, 0.000
24, 0.000
25, 1.000
26, 1.000
27, 1.000
28, 1.000
29, 1.000
30, 0.000
31, 1.000
32, 1.000
33, 0.000
34, 1.000
35, 1.000
36, 0.000
37, 0.000
38, 1.000
39, 1.000
40, 1.000
41, 1.000
42, 1.000
43, 1.000
44, 1.000
45, 1.000
46, 1.000
47, 1.000
48, 1.000
49, 1.000
50, 1.000
51, 1.000
52, 1.000
53, 1.000
54, 1.000
55, 1.000
56, 0.000
57, 0.000
58, 1.000
59, 1.000
60, 1.000
61, 1.000
62, 1.000
63, 0.000
64, 0.000
65, 1.000
66, 1.000
67, 1.000
68, 1.000
69, 1.000
70, 0.000
71, 1.000
72, 1.000
73, 1.000
74, 1.000
75, 0.000
76, 1.000
77, 0.000
78, 0.000
79, 0.000
80, 0.000
81, 0.000
82, 0.000
83, 0.000
84, 1.000
85, 1.000
86, 1.000
87, 1.000
88, 1.000
89, 1.000
90, 1.000
91, 1.000
92, 1.000
93, 1.000
94, 1.000
95, 0.000
96, 1.000
97, 1.000
98, 1.000
99, 1.000
100, 0.000
101, 0.000
102, 0.000
103, 0.000
104, 0.000
105, 0.000
106, 1.000
107, 0.000
108, 0.000
109, 1.000
110, 1.000
111, 1.000
112, 0.000
113, 0.000
114, 1.000
115, 1.000
116, 1.000
117, 0.000
118, 1.000
119, 1.000
120, 1.000
121, 1.000
122, 0.000
123, 0.000
124, 0.000
125, 1.000
126, 0.000
127, 0.000
128, 0.000
129, 1.000
130, 1.000
131, 1.000
132, 1.000
133, 1.000
134, 1.000
135, 1.000
136, 1.000
137, 1.000
138, 1.000
139, 1.000
140, 0.000
141, 1.000
142, 1.000
143, 1.000
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 1.000
149, 0.000
150, 1.000
151, 1.000
152, 1.000
153, 1.000
154, 1.000
155, 1.000
156, 1.000
157, 1.000
158, 1.000
159, 1.000
160, 1.000
161, 0.000
162, 0.000
163, 1.000
164, 0.000
165, 0.000
166, 0.000
167, 1.000
168, 0.000
169, 1.000
170, 1.000
171, 1.000
172, 1.000
173, 1.000
174, 1.000
175, 1.000
176, 1.000
177, 1.000
178, 1.000
179, 1.000
180, 1.000
181, 1.000
182, 1.000
183, 1.000
184, 1.000
185, 0.000
186, 1.000
187, 0.000
188, 0.000
189, 1.000
190, 1.000
191, 1.000
192, 0.000
193, 1.000
194, 1.000
195, 1.000
196, 0.000
197, 0.000
198, 1.000
199, 0.000
200, 0.000
201, 0.000
202, 1.000
203, 0.000
204, 0.000
205, 0.000
206, 0.000
207, 0.000
208, 1.000
209, 1.000
210, 1.000
211, 0.000
212, 1.000
213, 1.000
214, 1.000
215, 0.000
216, 0.000
217, 1.000
218, 0.000
219, 0.000
220, 1.000
221, 1.000
222, 1.000
223, 0.000
224, 0.000
225, 1.000
226, 0.000
227, 0.000
228, 0.000
229, 0.000
230, 0.000
231, 1.000
232, 1.000
233, 1.000
234, 1.000
235, 1.000
236, 1.000
237, 0.000
238, 1.000
239, 1.000
240, 1.000
241, 1.000
242, 1.000
243, 0.000
244, 1.000
245, 0.000
246, 1.000
247, 0.000
248, 1.000
249, 1.000
250, 0.000
251, 1.000
252, 1.000
253, 0.000
254, 0.000
255, 1.000
256, 1.000
257, 1.000
258, 1.000
259, 1.000
260, 1.000
261, 1.000
262, 1.000
263, 1.000
264, 1.000
265, 0.000
266, 1.000
267, 0.000
268, 0.000
269, 0.000
270, 0.000
271, 1.000
272, 1.000
273, 1.000
274, 1.000
275, 1.000
276, 1.000
277, 1.000
278, 1.000
279, 1.000
280, 0.000
281, 0.000
282, 1.000
283, 1.000
284, 1.000
285, 1.000
286, 1.000
287, 1.000
288, 1.000
289, 1.000
290, 1.000
291, 1.000
292, 1.000
293, 1.000
294, 1.000
295, 1.000
296, 1.000
297, 1.000
298, 1.000
299, 1.000
300, 1.000
301, 1.000
302, 1.000
303, 1.000
304, 0.000
305, 0.000
306, 0.000
307, 1.000
308, 1.000
309, 1.000
310, 1.000
311, 1.000
312, 0.000
313, 1.000
314, 1.000
315, 0.000
316, 0.000
317, 1.000
318, 1.000
319, 1.000
320, 0.000
321, 1.000
322, 0.000
323, 0.000
324, 0.000
325, 0.000
326, 0.000
327, 1.000
328, 1.000
329, 1.000
330, 1.000
331, 1.000
332, 0.000
333, 1.000
334, 0.000
335, 0.000
336, 1.000
337, 0.000
338, 1.000
339, 1.000
340, 0.000
341, 1.000
342, 1.000
343, 1.000
344, 1.000
345, 0.000
346, 0.000
347, 1.000
348, 1.000
349, 1.000
350, 1.000
351, 1.000
352, 0.000
353, 0.000
354, 1.000
355, 1.000
356, 1.000
357, 1.000
358, 1.000
359, 1.000
360, 1.000
361, 1.000
362, 1.000
363, 1.000
364, 1.000
365, 0.000
366, 0.000
367, 0.000
368, 0.000
369, 0.000
370, 0.000
371, 0.000
372, 0.000
373, 0.000
374, 1.000
375, 1.000
376, 1.000
377, 1.000
378, 0.000
379, 0.000
380, 0.000
381, 0.000
382, 0.000
383, 1.000
384, 1.000
385, 1.000
386, 1.000
387, 0.000
388, 1.000
389, 1.000
390, 0.000
391, 1.000
392, 1.000
393, 1.000
394, 0.000
395, 0.000
396, 0.000
397, 0.000
398, 0.000
399, 1.000
400, 0.000
401, 1.000
402, 1.000
403, 1.000
404, 1.000
405, 1.000
406, 1.000
407, 1.000
408, 1.000
409, 1.000
410, 1.000
