*, CJ1
1, 0.500
2, NaN
3, 0.750
4, 1.000
5, 1.000
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 0.333
11, 1.000
12, 0.500
13, 1.000
14, 0.000
15, NaN
16, 1.000
17, 1.000
18, 1.000
19, 1.000
20, 0.333
21, 0.667
22, 1.000
23, 0.833
24, 0.333
25, 0.000
26, 0.000
27, 1.000
28, NaN
29, 1.000
30, 1.000
31, NaN
32, 1.000
33, 0.500
34, 1.000
35, NaN
36, 0.000
37, 0.000
38, 0.286
39, 1.000
40, 0.000
41, 1.000
42, 0.667
43, 1.000
44, 0.000
45, 0.250
46, 0.667
47, 1.000
48, 1.000
49, 0.667
50, 1.000
51, 0.000
52, 1.000
53, 0.889
54, 0.333
55, 0.000
56, 0.500
57, 1.000
58, NaN
59, 1.000
60, 1.000
61, 0.750
62, 0.000
63, 1.000
64, NaN
65, 0.750
66, NaN
67, 0.000
68, NaN
69, 0.400
70, 0.000
71, NaN
72, 1.000
73, 0.500
74, NaN
75, 1.000
76, 0.200
77, NaN
78, 1.000
79, 0.250
80, 0.000
81, 0.000
82, 0.000
83, 1.000
84, 1.000
85, 0.000
86, 1.000
87, 1.000
88, 0.400
89, 0.800
90, 0.333
91, 1.000
92, 1.000
93, 0.500
94, 0.000
95, 1.000
96, 1.000
97, 0.000
98, 1.000
99, 1.000
100, 1.000
101, 1.000
102, 1.000
103, NaN
104, 1.000
105, 1.000
106, 0.000
107, NaN
108, 1.000
109, 1.000
110, 0.000
111, 1.000
112, 0.333
113, 1.000
114, 0.500
115, NaN
116, 0.000
117, 1.000
118, 1.000
119, 0.000
120, 0.333
121, 0.667
122, 0.750
123, 0.500
124, 1.000
125, 0.000
126, 1.000
127, 1.000
128, 1.000
129, 1.000
130, 0.000
131, 0.000
132, 1.000
133, 0.000
134, 0.000
135, 1.000
136, 0.500
137, 1.000
138, 0.500
139, 0.400
140, 0.000
141, 0.500
142, 1.000
143, 1.000
