*, CJ1
1, 0.846
2, 1.000
3, 1.000
4, 1.000
5, 1.000
6, 0.271
7, 1.000
8, 0.750
9, 0.250
10, 0.200
11, 0.625
12, 0.750
13, 0.250
14, 0.875
15, 1.000
16, 0.334
17, 0.689
18, 0.641
19, 0.250
20, 1.000
21, 0.250
22, 0.750
23, 0.000
24, 1.000
25, 0.871
26, 0.000
27, 0.394
28, 0.833
29, 1.000
30, 0.600
31, 0.143
32, 0.778
33, 0.202
34, 0.767
35, 1.000
36, 0.400
37, 0.000
38, 1.000
39, 0.571
40, 0.869
41, 0.583
42, 1.000
43, 0.700
44, 0.563
45, 0.050
46, 1.000
47, 0.500
48, 0.333
49, 0.625
50, 0.500
51, 0.222
52, 1.000
53, 0.367
54, 1.000
55, 0.509
56, 1.000
57, 0.867
58, 1.000
59, 0.000
60, 0.124
61, 0.955
62, 0.917
63, 0.100
64, 0.286
65, 1.000
66, 1.000
67, 0.000
68, 0.435
69, 0.611
70, 0.500
71, 0.000
72, 0.667
73, 0.810
74, 1.000
75, 0.833
76, 0.875
77, 0.000
78, 0.000
79, 0.375
80, 0.667
81, 0.167
82, 1.000
83, 1.000
84, 1.000
85, 0.376
86, 1.000
87, 0.308
88, 1.000
89, 0.733
90, 0.000
91, 1.000
92, 0.125
93, 0.583
94, 0.250
95, 0.893
96, 1.000
97, 1.000
98, 0.500
99, 0.750
100, 0.625
101, 0.064
102, 0.875
103, 1.000
104, 0.866
105, 0.873
106, 0.443
107, 0.437
108, 0.438
109, 0.735
110, 0.867
111, 1.000
112, 0.588
113, 0.493
114, 0.373
115, 0.400
116, 0.500
117, 0.375
118, 0.000
119, 0.333
120, 0.667
121, 0.667
122, 0.000
123, 0.333
124, 0.333
125, 0.120
126, 0.000
127, 1.000
128, 0.667
129, 0.500
130, 0.500
131, 1.000
132, 0.500
133, 0.100
134, 1.000
135, 1.000
136, 0.000
