*, CJ1
1, 1.000
2, 1.000
3, 1.000
4, 1.000
5, 1.000
6, 1.000
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 0.000
13, 0.000
14, 1.000
15, 1.000
16, 1.000
17, 1.000
18, 1.000
19, 0.250
20, 0.500
21, 0.333
22, 0.000
23, 1.000
24, 1.000
25, 0.500
26, 0.250
27, 0.200
28, 1.000
29, 0.250
30, 0.500
31, 1.000
32, 0.250
33, 1.000
34, 1.000
35, 1.000
36, 1.000
37, 1.000
38, 0.000
39, 1.000
40, 1.000
41, 1.000
42, 0.500
43, 0.000
44, 0.167
45, 0.250
46, 0.167
47, 1.000
48, 0.000
49, 0.200
50, 1.000
51, 1.000
52, 0.333
53, 0.000
54, 0.167
55, 0.333
56, 0.000
57, 0.333
58, 0.200
59, 1.000
60, 0.000
61, 1.000
62, 0.000
63, 1.000
64, 0.167
65, 1.000
66, 0.000
67, 1.000
68, 1.000
69, 1.000
70, 1.000
71, 1.000
72, 1.000
73, 0.333
74, 1.000
75, 1.000
76, 1.000
77, 0.000
78, 0.000
79, 0.000
80, 0.000
81, 1.000
82, 1.000
83, 1.000
84, 0.000
85, 1.000
86, 0.000
87, 1.000
88, 0.333
89, 1.000
90, 1.000
91, 0.000
92, 1.000
93, 0.000
94, 1.000
95, 0.000
96, 0.000
97, 0.000
98, 0.000
99, 0.000
100, 1.000
101, 0.000
102, 1.000
103, 1.000
104, 0.500
105, 0.000
106, 1.000
107, 0.500
108, 0.000
109, 1.000
110, 1.000
111, 1.000
112, 1.000
113, 1.000
114, 1.000
115, 1.000
116, 0.100
117, 0.000
118, 0.500
119, 1.000
120, 0.125
121, 0.250
122, 0.000
123, 0.000
124, 1.000
125, 1.000
126, 0.000
127, 0.333
128, 0.500
129, 0.500
130, 0.000
131, 0.333
132, 1.000
133, 0.000
134, 1.000
135, 0.167
136, 0.111
137, 0.500
138, 0.100
139, 1.000
140, 0.500
141, 1.000
142, 1.000
143, 1.000
144, 1.000
145, 1.000
146, 1.000
147, 1.000
148, 0.000
149, 0.000
150, 0.200
151, 1.000
152, 0.000
153, 0.000
154, 1.000
155, 0.143
156, 1.000
157, 0.333
158, 1.000
159, 0.000
160, 0.000
161, 0.333
162, 0.250
163, 1.000
164, 0.100
165, 0.100
166, 0.000
167, 0.000
168, 0.000
169, 1.000
170, 0.000
171, 0.000
172, 0.167
173, 0.000
174, 0.000
175, 0.000
176, 0.000
177, 1.000
178, 0.000
179, 0.000
180, 1.000
181, 1.000
182, 1.000
183, 1.000
184, 1.000
185, 1.000
186, 0.200
187, 1.000
188, 1.000
189, 0.000
190, 0.000
191, 1.000
192, 1.000
193, 1.000
194, 0.000
195, 0.500
196, 0.100
197, 0.000
198, 1.000
199, 0.143
200, 1.000
201, 1.000
202, 1.000
203, 1.000
204, 1.000
205, 1.000
206, 0.167
207, 1.000
208, 1.000
209, 1.000
210, 0.000
