*, JSSLP1, PLNLP, TY1, TY2
1, 0.947, 0.000, 0.901, 0.847
2, 0.714, 0.000, 0.732, 0.595
3, 0.682, 0.000, 0.682, 0.645
4, 0.800, 0.000, 0.800, 0.800
5, 0.933, 0.000, 0.850, 0.767
6, 0.833, 0.000, 0.833, 0.808
7, 0.867, 0.000, 0.889, 0.867
8, 0.933, 0.000, 0.880, 0.933
9, 0.917, 0.000, 0.917, 0.844
10, 0.947, 0.000, 0.610, 0.842
11, 0.876, 0.000, 0.932, 0.868
12, 0.945, 0.000, 0.958, 0.937
13, 0.917, 0.000, 0.940, 0.938
14, 0.865, 0.000, 0.969, 0.879
15, 0.944, 0.000, 0.907, 0.930
16, 0.889, 0.000, 0.922, 0.891
17, 0.905, 0.000, 0.950, 0.857
18, 0.959, 0.000, 0.965, 0.947
19, 0.931, 0.000, 0.968, 0.925
20, 0.929, 0.000, 0.977, 0.944
21, 0.632, 0.000, 0.722, 0.678
22, 0.973, 0.000, 0.984, 0.966
23, 0.965, 0.000, 0.962, 0.939
24, 0.688, 0.000, 0.780, 0.694
25, 0.541, 0.008, 0.790, 0.595
26, 0.942, 0.000, 0.946, 0.939
27, 0.928, 0.000, 0.965, 0.951
28, 0.776, 0.000, 0.798, 0.597
29, 0.953, 0.000, 0.968, 0.959
30, 0.934, 0.000, 0.969, 0.910
31, 0.965, 0.000, 0.988, 0.944
32, 0.930, 0.000, 0.956, 0.891
33, 0.886, 0.000, 0.920, 0.802
34, 0.882, 0.000, 0.908, 0.850
35, 0.887, 0.000, 0.948, 0.876
36, 0.935, 0.000, 0.930, 0.953
37, 0.908, 0.000, 0.903, 0.833
38, 0.949, 0.000, 0.906, 0.923
39, 0.921, 0.000, 0.946, 0.882
40, 0.878, 0.000, 0.914, 0.866
41, 0.922, 0.000, 0.948, 0.898
42, 0.895, 0.000, 0.935, 0.910
43, 0.925, 0.000, 0.943, 0.904
44, 0.923, 0.000, 0.944, 0.938
45, 0.962, 0.000, 0.954, 0.916
46, 0.913, 0.000, 0.948, 0.920
47, 0.931, 0.000, 0.955, 0.931
48, 0.945, 0.000, 0.950, 0.915
