*, JSSLP1, PLNLP, TY1, TY2
1, 0.947, 0.000, 0.947, 0.895
2, 0.714, 0.000, 0.786, 0.643
3, 0.727, 0.000, 0.727, 0.727
4, 0.800, 0.000, 0.800, 0.800
5, 0.933, 0.000, 0.933, 0.800
6, 0.833, 0.000, 0.833, 0.917
7, 0.867, 0.000, 0.933, 0.867
8, 0.933, 0.000, 0.933, 0.933
9, 0.917, 0.000, 0.917, 0.917
10, 0.947, 0.000, 0.684, 0.842
11, 0.927, 0.000, 0.948, 0.896
12, 0.968, 0.000, 0.968, 0.961
13, 0.950, 0.000, 0.981, 0.963
14, 0.975, 0.000, 0.994, 0.956
15, 0.963, 0.000, 0.963, 0.963
16, 0.931, 0.000, 0.969, 0.925
17, 0.941, 0.000, 0.980, 0.928
18, 0.970, 0.000, 0.976, 0.957
19, 0.949, 0.000, 0.968, 0.943
20, 0.971, 0.000, 1.000, 0.982
21, 0.742, 0.000, 0.818, 0.758
22, 0.977, 0.000, 0.988, 0.977
23, 1.000, 0.000, 0.984, 0.952
24, 0.752, 0.000, 0.843, 0.785
25, 0.756, 0.008, 0.862, 0.715
26, 0.962, 0.000, 0.962, 0.962
27, 0.965, 0.000, 0.965, 0.965
28, 0.879, 0.000, 0.879, 0.725
29, 0.993, 0.000, 0.987, 0.973
30, 0.959, 0.000, 0.986, 0.938
31, 0.979, 0.000, 0.993, 0.972
32, 0.964, 0.000, 0.956, 0.934
33, 0.940, 0.000, 0.940, 0.862
34, 0.949, 0.000, 0.927, 0.891
35, 0.926, 0.000, 0.966, 0.886
36, 0.953, 0.000, 0.930, 0.953
37, 0.939, 0.000, 0.939, 0.848
38, 0.965, 0.000, 0.930, 0.956
39, 0.952, 0.000, 0.980, 0.939
40, 0.930, 0.000, 0.972, 0.915
41, 0.944, 0.000, 0.984, 0.913
42, 0.957, 0.000, 0.946, 0.946
43, 0.951, 0.000, 0.976, 0.943
44, 0.950, 0.000, 0.950, 0.950
45, 0.970, 0.000, 0.970, 0.939
46, 0.989, 0.000, 0.978, 0.935
47, 0.931, 0.000, 1.000, 0.931
48, 0.962, 0.000, 1.000, 0.925
