*, JSSLP1, PLNLP, TY1, TY2
1, 1.000, 0.295, 0.500, 1.000
2, 1.000, 0.433, 0.600, 0.800
3, 0.000, 0.000, 0.000, 1.000
4, 0.667, 0.250, 0.163, 0.563
5, 0.000, 0.000, 0.000, 0.250
6, 0.750, 0.000, 0.000, 0.667
7, 1.000, 0.500, 1.000, 0.917
8, 1.000, 0.000, 0.333, 0.667
9, 1.000, 0.000, 0.000, 0.900
10, 1.000, 0.000, 0.000, 1.000
11, 1.000, 0.000, 0.000, 0.500
12, 1.000, 0.500, 1.000, 1.000
13, 0.800, 0.000, 0.200, 0.600
14, 1.000, 0.000, 0.000, 0.625
15, 0.667, 0.000, 0.000, 0.500
16, 1.000, 0.500, 1.000, 0.542
17, 0.000, 0.000, 0.000, 0.000
18, 1.000, 0.100, 0.500, 1.000
19, 1.000, 0.000, 0.000, 1.000
20, 0.375, 0.000, 0.000, 0.100
21, 1.000, 0.000, 0.000, 0.083
22, 0.926, 0.222, 0.389, 0.806
23, 1.000, 0.000, 1.000, 1.000
24, 1.000, 0.000, 0.000, 1.000
25, 1.000, 0.500, 0.500, 1.000
26, 1.000, 0.182, 0.636, 0.909
27, 1.000, 0.250, 0.500, 1.000
28, 1.000, 0.313, 0.375, 0.750
29, 1.000, 1.000, 1.000, 1.000
30, 1.000, 0.500, 1.000, 1.000
31, 1.000, 1.000, 1.000, 1.000
32, 1.000, 0.000, 0.000, 1.000
33, 0.900, 0.000, 0.000, 1.000
34, 0.500, 0.000, 0.500, 0.500
35, 1.000, 0.000, 0.000, 1.000
36, 0.800, 0.000, 0.000, 0.800
37, 0.333, 0.000, 0.000, 0.000
38, 1.000, 0.500, 0.500, 1.000
39, 1.000, 0.063, 0.429, 1.000
40, 1.000, 0.750, 1.000, 1.000
41, 0.875, 0.063, 0.167, 0.875
42, 1.000, 0.399, 0.667, 0.917
43, 0.833, 0.193, 0.667, 0.722
44, 1.000, 0.556, 0.556, 1.000
45, 1.000, 0.733, 1.000, 1.000
46, 0.625, 0.125, 0.500, 0.750
47, 1.000, 0.217, 0.750, 1.000
48, 1.000, 0.000, 1.000, 1.000
49, 1.000, 1.000, 1.000, 1.000
50, 1.000, 1.000, 1.000, 1.000
51, 1.000, 0.050, 0.500, 0.750
52, 1.000, 0.025, 0.281, 0.750
53, 1.000, 0.083, 0.333, 0.861
54, 1.000, 0.264, 0.750, 1.000
55, 1.000, 0.000, 0.000, 1.000
56, 0.500, 0.500, 0.500, 0.500
57, 1.000, 0.840, 1.000, 1.000
58, 1.000, 0.000, 0.000, 1.000
59, 1.000, 0.000, 0.000, 1.000
60, 0.000, 1.000, 1.000, 1.000
61, 1.000, 0.000, 0.000, 0.250
62, 1.000, 0.333, 0.333, 1.000
63, 1.000, 0.250, 1.000, 1.000
64, 1.000, 0.000, 0.000, 1.000
65, 1.000, 0.000, 0.000, 0.667
66, 1.000, 0.500, 0.500, 0.750
67, 0.333, 0.000, 0.000, 1.000
68, 0.625, 0.625, 1.000, 0.556
69, 1.000, 0.000, 0.000, 1.000
70, 1.000, 1.000, 1.000, 1.000
71, 1.000, 0.000, 0.000, 0.722
72, 1.000, 1.000, 1.000, 1.000
73, 1.000, 0.625, 1.000, 1.000
74, 1.000, 1.000, 1.000, 1.000
75, 1.000, 0.000, 0.333, 0.444
76, 0.500, 0.000, 0.000, 1.000
77, 1.000, 0.762, 1.000, 1.000
78, 1.000, 0.000, 1.000, 1.000
79, 1.000, 0.500, 0.500, 1.000
80, 0.333, 0.000, 0.333, 1.000
81, 1.000, 0.167, 0.333, 0.857
82, 1.000, 0.000, 0.000, 1.000
83, 0.833, 0.000, 0.000, 0.611
84, 0.550, 0.050, 0.125, 0.500
85, 1.000, 0.500, 0.500, 1.000
86, 1.000, 1.000, 1.000, 1.000
87, 1.000, 0.000, 0.000, 1.000
88, 1.000, 0.000, 0.000, 1.000
89, 0.881, 0.286, 0.571, 0.643
90, 1.000, 0.000, 0.000, 1.000
91, 1.000, 0.000, 0.000, 1.000
92, 1.000, 0.500, 0.500, 1.000
93, 1.000, 0.000, 0.500, 1.000
94, 1.000, 0.000, 0.000, 1.000
95, 1.000, 0.000, 0.000, 1.000
96, 1.000, 0.000, 1.000, 0.000
97, 1.000, 0.000, 0.000, 1.000
98, 1.000, 0.000, 0.000, 1.000
99, 1.000, 0.500, 0.750, 1.000
100, 1.000, 0.333, 0.333, 1.000
101, 0.000, 0.000, 0.000, 0.000
102, 1.000, 0.000, 0.000, 1.000
103, 1.000, 0.250, 0.375, 0.938
104, 1.000, 0.000, 0.000, 1.000
105, 0.250, 0.000, 1.000, 0.000
106, 0.444, 0.000, 0.000, 0.333
