*, JSSLP1, PNLNP, TY1, TY2
1, 0.000, 0.000, 0.000, 1.000
2, 0.000, 0.000, 0.000, 0.000
3, 1.000, 0.000, 0.000, 1.000
4, 0.000, 0.000, 0.000, 0.000
5, 0.025, 0.000, 0.132, 0.133
6, 0.000, 0.000, 0.000, 0.000
7, 0.000, 0.000, 0.500, 0.083
8, 0.000, 0.000, 0.000, 0.000
9, 0.000, 0.000, 1.000, 0.000
10, 1.000, 0.000, 1.000, 1.000
11, 0.000, 0.000, 0.000, 0.300
12, 1.000, 0.000, 0.000, 1.000
13, 0.000, 0.000, 0.143, 0.163
14, 0.040, 0.000, 0.022, 0.073
15, 0.000, 0.000, 0.000, 0.000
16, 0.000, 0.000, 1.000, 0.500
17, 0.000, 0.000, 0.000, 0.000
18, 0.000, 0.000, 0.000, 0.200
19, 0.000, 0.000, 0.000, 0.071
20, 0.000, 0.000, 0.092, 0.000
21, 0.000, 0.000, 0.000, 0.063
22, 0.000, 0.000, 0.000, 0.000
23, 0.000, 0.000, 0.000, 0.000
24, 0.000, 0.000, 0.000, 0.000
25, 0.000, 0.000, 0.000, 0.000
26, 0.000, 0.000, 0.000, 0.042
27, 0.000, 0.000, 0.000, 0.000
28, 0.000, 0.000, 0.000, 0.000
29, 0.042, 0.000, 0.375, 0.292
30, 0.333, 0.000, 0.000, 0.000
31, 0.000, 0.000, 0.000, 0.000
32, 0.000, 0.000, 0.000, 0.000
33, 0.000, 0.000, 0.167, 0.083
34, 0.000, 0.000, 0.000, 0.000
35, 0.000, 0.000, 0.100, 1.000
36, 0.000, 0.000, 0.500, 0.000
37, 0.037, 0.000, 0.000, 0.347
38, 0.000, 0.000, 0.500, 0.167
39, 0.000, 0.000, 0.000, 0.500
40, 0.500, 0.000, 0.500, 0.250
41, 1.000, 0.000, 0.100, 0.500
42, 0.000, 0.000, 0.000, 0.000
43, 0.000, 0.000, 0.000, 0.000
44, 0.500, 0.000, 0.500, 0.750
45, 0.000, 0.000, 0.000, 0.000
46, 0.000, 0.000, 0.000, 0.000
47, 0.000, 0.000, 0.000, 0.250
48, 0.000, 0.000, 0.000, 0.500
49, 0.000, 0.000, 0.000, 0.000
50, 0.156, 0.000, 0.153, 0.104
51, 0.000, 0.000, 0.025, 0.250
52, 0.000, 0.000, 0.333, 0.111
53, 0.000, 0.000, 0.000, 0.500
54, 0.500, 0.000, 0.000, 0.031
55, 1.000, 0.000, 0.000, 0.000
56, 1.000, 0.000, 0.250, 0.167
57, 0.333, 0.000, 0.000, 0.042
58, 0.000, 0.000, 0.000, 0.000
59, 0.000, 0.000, 1.000, 1.000
60, 1.000, 0.000, 0.000, 1.000
61, 0.000, 0.000, 0.000, 0.250
62, 0.000, 0.000, 0.000, 0.000
63, 1.000, 0.000, 0.000, 0.000
64, 0.333, 0.000, 0.333, 0.235
65, 0.250, 0.000, 0.500, 0.000
66, 1.000, 0.000, 0.000, 0.000
67, 0.167, 0.000, 0.000, 0.000
68, 0.808, 0.000, 0.511, 0.448
69, 1.000, 0.000, 0.000, 0.167
70, 0.513, 0.000, 0.000, 0.700
71, 1.000, 0.000, 0.000, 0.000
72, 0.833, 0.000, 0.542, 0.357
73, 0.000, 0.000, 0.000, 0.000
74, 0.063, 0.000, 0.000, 0.000
75, 0.125, 0.000, 0.000, 0.000
76, 0.000, 0.000, 0.000, 0.000
77, 1.000, 0.000, 0.333, 0.000
78, 0.431, 0.000, 0.597, 0.274
79, 0.000, 0.000, 0.000, 0.000
80, 0.492, 0.000, 0.547, 0.564
81, 0.100, 0.000, 0.000, 0.000
82, 0.000, 0.000, 0.000, 0.000
83, 0.214, 0.000, 0.619, 0.048
84, 0.000, 0.000, 0.000, 0.000
85, 1.000, 0.000, 0.000, 0.000
86, 1.000, 0.000, 0.000, 0.813
87, 0.143, 0.000, 1.000, 0.333
88, 0.250, 0.000, 0.250, 0.625
