*, JSSLP1, PLNLP, TY1, TY2
1, 0.000, 0.000, 0.000, 1.000
2, 0.000, 0.000, 0.000, 0.000
3, 1.000, 0.000, 0.000, 1.000
4, 0.000, 0.333, 0.000, 0.000
5, 0.182, 0.000, 0.273, 0.273
6, 0.000, 0.000, 0.000, 0.000
7, 0.000, 0.000, 0.500, 0.500
8, 0.000, 0.000, 0.000, 0.000
9, 0.000, 0.000, 1.000, 0.000
10, 1.000, 0.000, 1.000, 1.000
11, 0.000, 0.250, 0.000, 0.500
12, 1.000, 0.000, 0.000, 1.000
13, 0.000, 0.000, 0.143, 0.286
14, 0.200, 0.000, 0.200, 0.400
15, 0.000, 0.000, 0.000, 0.000
16, 0.000, 0.000, 1.000, 1.000
17, 0.000, 0.000, 0.000, 0.000
18, 0.000, 0.000, 0.000, 1.000
19, 0.000, 0.000, 0.000, 0.500
20, 0.000, 0.000, 0.500, 0.000
21, 0.000, 0.000, 0.000, 0.500
22, 0.000, 0.000, 0.000, 0.000
23, 0.000, 0.000, 0.000, 0.000
24, 0.000, 0.000, 0.000, 0.000
25, 0.000, 0.000, 0.000, 0.000
26, 0.000, 0.000, 0.000, 0.250
27, 0.000, 0.000, 0.000, 0.000
28, 0.000, 0.000, 0.000, 0.000
29, 0.125, 0.000, 0.375, 0.375
30, 1.000, 0.000, 0.000, 0.000
31, 0.000, 0.000, 0.000, 0.000
32, 0.000, 0.000, 0.000, 0.000
33, 0.000, 0.000, 0.333, 0.333
34, 0.000, 0.000, 0.000, 0.000
35, 0.000, 0.000, 1.000, 1.000
36, 0.000, 0.000, 0.500, 0.000
37, 0.111, 0.000, 0.000, 0.556
38, 0.000, 0.000, 0.500, 0.500
39, 0.000, 0.000, 0.000, 1.000
40, 0.500, 0.000, 0.500, 0.500
41, 1.000, 0.000, 1.000, 1.000
42, 0.000, 0.000, 0.000, 0.000
43, 0.000, 0.000, 0.000, 0.000
44, 0.500, 0.000, 0.500, 1.000
45, 0.000, 0.000, 0.000, 0.000
46, 0.000, 0.000, 0.000, 0.000
47, 0.000, 0.000, 0.000, 1.000
48, 0.000, 0.000, 0.000, 1.000
49, 0.000, 0.000, 0.000, 0.000
50, 0.375, 0.000, 0.375, 0.250
51, 0.000, 0.000, 0.250, 0.250
52, 0.000, 0.000, 0.333, 0.333
53, 0.000, 0.000, 0.000, 0.500
54, 0.500, 0.000, 0.000, 0.250
55, 1.000, 0.000, 0.000, 0.000
56, 1.000, 0.667, 0.667, 0.333
57, 0.333, 0.000, 0.000, 0.333
58, 0.000, 0.000, 0.000, 0.000
59, 0.000, 0.000, 1.000, 1.000
60, 1.000, 0.000, 0.000, 1.000
61, 0.000, 1.000, 0.000, 0.500
62, 0.000, 0.000, 0.000, 0.000
63, 1.000, 0.000, 0.000, 0.000
64, 0.333, 0.000, 0.333, 0.333
65, 1.000, 0.000, 1.000, 0.000
66, 1.000, 0.000, 0.000, 0.000
67, 0.500, 0.000, 0.000, 0.000
68, 1.000, 0.400, 0.600, 0.600
69, 1.000, 0.000, 0.000, 0.333
70, 0.600, 0.000, 0.000, 0.700
71, 1.000, 0.000, 0.000, 0.000
72, 0.833, 0.167, 0.667, 0.500
73, 0.000, 0.000, 0.000, 0.000
74, 0.333, 0.000, 0.000, 0.000
75, 0.500, 0.000, 0.000, 0.000
76, 0.000, 0.000, 0.000, 0.000
77, 1.000, 0.000, 1.000, 0.000
78, 0.667, 0.000, 0.833, 0.500
79, 0.000, 0.000, 0.000, 0.000
80, 0.615, 0.000, 0.615, 0.692
81, 0.200, 0.000, 0.000, 0.000
82, 0.000, 0.000, 0.000, 0.000
83, 0.571, 0.000, 0.857, 0.143
84, 0.000, 0.000, 0.000, 0.000
85, 1.000, 0.000, 0.000, 0.000
86, 1.000, 0.000, 0.000, 1.000
87, 1.000, 0.000, 1.000, 1.000
88, 0.250, 0.000, 0.250, 0.750
