*, JSSLP1, TY1, TY2
1, 5.889, 5.333, 5.333
2, 2.000, 2.250, 2.250
3, 4.000, 0.000, 0.000
4, 3.200, 4.400, 4.400
5, 7.000, 6.800, 6.800
6, 3.000, 5.000, 5.000
7, 2.800, 6.600, 6.600
8, 8.600, 6.800, 6.800
9, 3.500, 2.000, 2.000
10, 5.889, 4.556, 4.556
11, 9.349, 8.791, 8.791
12, 9.222, 9.542, 9.542
13, 9.145, 9.237, 9.237
14, 9.625, 8.722, 8.722
15, 8.071, 5.214, 5.214
16, 9.757, 8.932, 8.932
17, 9.167, 9.181, 9.181
18, 9.789, 9.026, 9.026
19, 9.478, 9.333, 9.333
20, 9.659, 9.341, 9.341
21, 8.735, 8.971, 8.971
22, 9.663, 9.398, 9.398
23, 9.581, 8.516, 8.516
24, 8.898, 9.136, 9.136
25, 8.898, 8.119, 8.119
26, 9.095, 7.619, 7.619
27, 9.267, 8.156, 8.156
28, 9.152, 9.043, 9.043
29, 9.956, 9.426, 9.426
30, 9.418, 9.687, 9.687
31, 9.800, 9.650, 9.650
32, 9.484, 9.719, 9.719
33, 8.980, 7.824, 7.824
34, 9.721, 9.456, 9.456
35, 9.710, 8.971, 8.971
36, 7.167, 7.833, 7.833
37, 8.893, 7.250, 7.250
38, 9.741, 8.593, 8.593
39, 9.662, 7.574, 7.574
40, 9.481, 8.815, 8.815
41, 9.136, 9.322, 9.322
42, 9.071, 7.119, 7.119
43, 9.483, 8.483, 8.483
44, 8.778, 9.361, 9.361
45, 9.574, 7.298, 7.298
46, 9.368, 8.368, 8.368
47, 8.769, 8.231, 8.231
48, 8.636, 8.364, 8.364
